COUNTY_FIPS,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
29067,13306,63,92,3,85,1,6,53,96,.43493369,.20390423,.072318524,.1790252,.59536999,.021997275,.20245279,.025890598
29069,30027,96,98,99,97,81,62,33,95,1.4692099,.25697654,.22647403,.2374317,.5829578,.09520337,.37959811,.018797603
29071,103191,21,30,37,55,20,16,13,26,-.89278781,.10461514,.12026805,.11571301,.32645306,.044452041,.25489095,.012700584
29073,14711,13,20,2,60,20,7,7,26,-1.2326804,.08986894,.071650349,.12161275,.325324,.044601712,.21642528,.010368664
29075,6616,39,63,22,48,49,20,28,23,-.3184914,.14813669,.1066198,.10809004,.31973898,.061056752,.26418787,.017221134
29077,289756,68,79,50,25,62,80,55,62,.57022047,.16404724,.13428096,.082493067,.39106214,.071652785,.43952525,.026565284
29079,9992,67,83,37,70,78,37,40,58,.55336469,.1730293,.12133891,.13542283,.38408935,.089430891,.3175813,.020833334
29081,8491,63,80,79,58,52,23,39,62,.40922827,.16548149,.16085792,.1176973,.39189565,.065325171,.27296588,.020414114
29083,21735,69,94,45,60,47,24,50,81,.62107915,.21120428,.12736806,.12178332,.46804631,.060570326,.27765867,.024549743
29085,9404,52,83,1,81,12,2,12,98,.075248025,.1726101,.057627119,.15736455,.67337662,.039486922,.1778169,.012323944
29087,4432,13,26,7,30,38,12,1,54,-1.2095391,.10069606,.084799998,.089302041,.37722981,.055390701,.23788328,.0059347181
29089,10058,38,57,48,60,13,8,12,59,-.38090265,.14148527,.13176668,.12103175,.38781726,.040046096,.21751657,.012388361
29091,40104,74,95,30,67,66,37,33,87,.71633804,.22272381,.11276715,.12957613,.50151688,.076772891,.31597179,.018642146
29093,10164,81,95,39,87,73,29,67,98,1.0309535,.22300398,.12214022,.1849436,.65760452,.085665196,.29185078,.033382427
